cid,name,type,cost,value,power,toughness,effect
1,Fireball,Spell,2,1,0,0,Deal 3 damage to any target.
2,Goblin,Creature,1,1,1,1,
3,Go,Creature,2,1,2,2,Trample
4,Jo,Spell,2,2,0,0,"Give a creature +2/+2, if the creature is named 'Go', Give it +4/+4 Instead."
5,"Kirby, The Ceaseless Hunger",Creature,8,3,3,5,"When this creature kills a creature, it gains +1/+1."
6,LYS,Creature,10,5,8,8,"Trample, Double Strike"
7,Jew,Creature,3,2,1,1,"When this creature enters the battlefield, Steal 1 mana from your opponent."
8,Grizzly Bear,Creature,2,2,2,2,
9,Russian,Creature,3,2,3,3,
10,"Blackout Curtain",Spell,3,1,0,0,"Select 1 creature, set it to 0/0."
11,"Fan The Hammer",Spell,2,1,0,0,"Deal 1 damage to all creatures on the opponent's field."
12,"Blood-Sealed Covenant",Spell,3,1,0,0,"The next creature you summon uses your HP as cost."
13,"Blood-Sealed Swordsman",Creature,1,0,1,1,"You may take 5 damage, summon a copy of this creature."
14,"Blood-Sealed Archer",Creature,2,1,2,1,"When summoned, take 5 damage, this creature gains +1/+1."
15,"Ties Bound in Blood",Spell,1,1,0,0,"Take 5 damage, draw 1 card"
16,"Aeden's Grace",Spell,2,2,0,0,"Gain 2 health for each creature on your field."
17,"Aeden's Tribute",Creature,1,1,1,1,"You may destroy this card to gain 3 mana."
18,"Aeden's Forbidden Apple",Spell,3,1,0,0,"Give 1 creature +7/+7, but destroy it after it attacks."
19,"Aeden's Light Lance",Spell,3,1,0,0,"Select 1 creature, it can attack directly, but destroy it after it attacks."
20,"Scroll of Sunlight",Spell,2,1,0,0,"Gain 1 mana for every creature on your field."
21,"Two-Faced King",Creature,3,2,1,3,"When this creature attacks, swap its power and toughness."
22,"Rainbow Revolver",Spell,2,2,0,0,"Deal x damage to any target, where x is the number of times this effect has been activated. If a creature is destroyed because of this effect, you may activate this effect again. This effect can only be activated a maximum of 7 times."
23,"Kong, Mistwalker Monk",Creature,2,1,2,2,"When this creature destroys a creature, it can deal 2 damage to the opponent."
24,"Shaoling, Mistwalker Apprentice",Creature,3,2,1,2,"When this creature is summoned, your next summon costs 1 less mana."
25,"Wen Ke, The Silent Mistwalker",Creature,4,2,4,2,"Bypass (This creature can attack directly)"
26,"Tian Wufeng, The Dancing Mistwalker",Creature,3,1,3,3,"Trample"
27,"Slashing Through The Mist",Spell,3,2,0,0,"Destroy x creatures, where x is the number of Mistwalker creatures on your field."
